Date,Daily minimum temperatures
1/1/1981,20.7
1/2/1981,17.9
1/3/1981,18.8
1/4/1981,14.6
1/5/1981,15.8
1/6/1981,15.8
1/7/1981,15.8
1/8/1981,17.4
1/9/1981,21.8
1/10/1981,20
1/11/1981,16.2
1/12/1981,13.3
1/13/1981,16.7
1/14/1981,21.5
1/15/1981,25
1/1/1982,17
1/2/1982,15
1/3/1982,13.5
1/4/1982,15.2
1/5/1982,13
1/6/1982,12.5
1/7/1982,14.1
1/8/1982,14.8
1/9/1982,16.2
1/10/1982,15.8
1/11/1982,19.1
1/12/1982,22.2
1/13/1982,15.9
1/14/1982,13
1/15/1982,14.1
1/1/1983,18.4
1/2/1983,15
1/3/1983,10.9
1/4/1983,11.4
1/5/1983,14.8
1/6/1983,12.1
1/7/1983,12.8
1/8/1983,16.2
1/9/1983,15.5
1/10/1983,13
1/11/1983,10.5
1/12/1983,9.1
1/13/1983,10.5
1/14/1983,11.8
1/15/1983,12.7
1/1/1984,19.5
1/2/1984,17.1
1/3/1984,17.1
1/4/1984,12
1/5/1984,11
1/6/1984,16.3
1/7/1984,16.1
1/8/1984,13
1/9/1984,13.4
1/10/1984,15.2
1/11/1984,12.5
1/12/1984,14.3
1/13/1984,16.5
1/14/1984,18.6
1/15/1984,18
12/30/1984,16.4
1/1/1985,13.3
1/2/1985,15.2
1/3/1985,13.1
1/4/1985,12.7
1/5/1985,14.6
1/6/1985,11
1/7/1985,13.2
1/8/1985,12.2
1/9/1985,14.4
1/10/1985,13.7
1/11/1985,14.5
1/12/1985,14.1
1/13/1985,14.4
1/14/1985,19.7
1/15/1985,16.5
1/1/1986,12.9
1/2/1986,13.8
1/3/1986,10.6
1/4/1986,12.6
1/5/1986,13.7
1/6/1986,12.6
1/7/1986,13.1
1/8/1986,15.4
1/9/1986,11.9
1/10/1986,13.8
1/11/1986,14.4
1/12/1986,15.2
1/13/1986,12.5
1/14/1986,12.2
1/15/1986,16.1
1/25/1987,13.8
1/26/1987,15.7
1/27/1987,12.9
1/28/1987,11.5
1/29/1987,11
1/30/1987,12.7
1/31/1987,14.9
2/1/1987,16.5
2/2/1987,12.8
2/3/1987,12.7
2/4/1987,12.7
2/5/1987,11.6
2/6/1987,13.3
2/7/1987,15.2
2/8/1987,16.4
5/16/1988,11.7
5/17/1988,13.2
5/18/1988,12
5/19/1988,10.4
5/20/1988,10
5/21/1988,8.2
5/22/1988,9.4
5/23/1988,10.3
5/24/1988,8.1
5/25/1988,8.7
5/26/1988,12.6
5/27/1988,10.9
5/28/1988,8.7
5/29/1988,9.3
5/30/1988,6.3
5/13/1989,11.9
5/14/1989,11.4
5/15/1989,9.7
5/16/1989,8.3
5/17/1989,8.1
5/18/1989,11.7
5/19/1989,11.6
5/20/1989,7.4
5/21/1989,5.2
5/22/1989,11
5/23/1989,9.5
5/24/1989,9.2
5/25/1989,10.7
5/26/1989,9
5/27/1989,10.2
3/11/1990,15
3/12/1990,12.1
3/13/1990,9.2
3/14/1990,11
3/15/1990,15
3/16/1990,11.6
3/17/1990,11.6
3/18/1990,15.1
3/19/1990,15
3/20/1990,13.6
3/21/1990,12.5
3/22/1990,14.3
3/23/1990,16
3/24/1990,17.4
3/25/1990,16.9
